"Date1st","DateLst","nDays","nCont","nEntries","nLineups","TotFees","AvgBuyIn","TotWinnings","nUserUp","UserID"
2014-09-07,2015-01-25,1,1,1,1,2,2,0,0,1
2014-09-07,2015-01-25,14,23,23,23,18,0.782608695652174,16.5,6,2
2014-09-21,2015-01-25,8,14,26,26,470,31.8571428571429,502.5,6,3
2014-09-07,2015-01-25,21,331,344,337,1461.5,4.39803625377643,1399.89,117,4
2014-09-28,2015-01-25,12,22,22,22,85,3.86363636363636,76.8,10,5
2014-09-07,2015-01-25,13,14,14,14,266,19,54.5,2,6
2014-09-28,2014-10-05,2,3,3,3,7,2.33333333333333,0,0,7
2014-09-07,2014-09-07,1,3,4,4,2.5,0.75,0,0,8
2014-10-19,2015-01-25,16,49,83,83,131.75,2.12244897959184,65.3,9,10
2014-09-04,2015-01-25,16,49,65,64,62.5,0.903061224489796,33.5,3,11
2014-09-21,2015-01-25,4,4,4,4,30,7.5,2,1,12
2014-09-21,2014-10-19,5,5,5,5,10,2,0,0,13
2014-10-12,2015-01-25,7,11,16,16,93.25,6.47727272727273,50,1,14
2014-09-07,2015-01-25,19,50,51,51,108,2.12,37.8,7,15
2014-09-07,2015-01-25,12,22,25,25,158.5,7.01136363636364,255,8,16
2014-09-28,2015-01-25,9,10,10,10,256,25.6,40,1,17
2014-09-21,2015-01-25,3,10,10,10,12,1.2,0,0,18
2014-09-07,2015-01-25,2,2,3,3,81,27,0,0,20
2014-09-14,2015-01-25,11,34,42,42,524,13.2941176470588,308.5,9,21
2014-09-04,2015-01-25,21,43,72,72,324,5.69767441860465,230.75,8,22
2014-11-27,2015-01-25,9,26,57,51,66.25,1.01923076923077,52.8,8,23
2014-09-07,2015-01-25,8,10,10,10,2.5,0.25,0.6,1,25
2014-09-14,2015-01-25,7,8,10,10,27,2.875,0,0,26
2014-09-04,2015-01-25,25,55,64,63,185,3.07272727272727,199.55,13,27
2014-09-04,2015-01-25,7,11,11,11,32.25,2.93181818181818,28,4,28
2014-09-28,2015-01-25,10,20,31,27,112,4.575,63,5,29
2014-09-04,2015-01-25,6,15,16,15,67,4.33333333333333,40,3,30
2014-09-04,2015-01-25,13,29,29,29,50,1.72413793103448,24,8,31
2014-09-04,2015-01-25,13,21,21,21,32.75,1.55952380952381,4.8,2,32
2014-08-28,2015-01-25,4,6,6,6,0.5,0.0833333333333333,0,0,34
2014-09-11,2015-01-25,1,1,1,1,1,1,0,0,35
2014-09-14,2015-01-25,39,132,180,180,539.75,3.27083333333333,444.24,33,36
2014-10-05,2015-01-25,1,8,8,8,1.25,0.15625,0,0,37
2014-09-28,2015-01-25,15,21,26,26,363,14.4285714285714,195,3,38
2014-10-05,2015-01-25,15,18,22,21,347,17.1111111111111,10.5,2,40
2014-09-07,2015-01-25,13,23,37,32,312,11,68,4,41
2014-09-04,2015-01-25,3,5,5,5,1,0.2,0,0,42
2014-09-07,2015-01-25,8,49,50,49,62,1.22448979591837,63.4,13,43
2014-09-07,2015-01-25,13,235,244,244,537,2.20851063829787,416.6,90,44
2014-09-21,2015-01-25,6,21,21,21,382,18.1904761904762,334,9,45
2014-09-07,2015-01-25,41,237,631,601,1780.25,3.9873417721519,627.99,30,46
2014-09-07,2015-01-25,10,15,16,15,197,12.4666666666667,138,3,47
2014-09-07,2015-01-25,18,26,28,27,101,3.73076923076923,69.36,4,49
2014-09-14,2015-01-25,26,42,46,44,205.5,4.48809523809524,121.5,12,50
2014-09-07,2014-09-21,5,19,39,39,26.5,0.763157894736842,39.9,6,51
2014-09-04,2015-01-25,9,114,116,114,2204.25,19.3004385964912,2104.6,44,52
2014-09-07,2015-01-25,18,36,43,38,223,5.58333333333333,179.9,15,53
2014-09-07,2014-09-08,2,18,20,18,28,1.33333333333333,0,0,54
2014-09-07,2015-01-25,3,8,8,8,14.5,1.8125,0,0,56
2014-09-04,2015-01-25,26,48,49,49,160.25,3.31770833333333,138.3,9,57
2014-09-04,2015-01-25,28,56,77,69,220,3.125,129.5,12,58
2014-09-07,2015-01-25,8,10,10,10,34,3.4,9,1,59
2014-09-14,2015-01-25,8,20,24,19,58.75,2.8,36,4,60
2014-09-21,2015-01-25,12,36,37,36,433,11.75,340.8,13,61
2014-09-21,2014-10-26,6,8,8,8,21,2.625,9.9,2,62
2014-09-04,2015-01-25,6,16,17,17,30.25,1.765625,0,0,63
2014-09-18,2015-01-25,5,12,12,12,37,3.08333333333333,9,3,64
2014-09-04,2015-01-25,43,123,236,235,1262.75,8.01219512195122,1061.6,43,65
