"Date1st","DateLst","nDays","nCont","nEntries","nLineups","TotFees","AvgBuyIn","TotWinnings","nUserUp","UserID"
2014-08-28,2015-01-25,2,2,2,2,29,14.5,0,0,1
2014-10-08,2015-01-25,8,12,12,12,5.5,0.458333333333333,2.75,3,2
2014-12-05,2015-01-25,16,25,26,26,1009,39.96,776,9,3
2014-11-29,2015-01-25,3,11,11,11,7.25,0.659090909090909,0,0,4
2014-08-25,2015-01-25,10,14,14,14,53,3.78571428571429,42,3,8
2014-09-05,2015-01-25,34,90,119,117,426.5,4.275,227.21,11,16
2014-11-05,2015-01-25,39,58,98,98,432.69,5.97741379310345,302.17,11,22
2014-09-11,2015-01-25,3,3,3,3,8,2.66666666666667,10.8,2,26
2015-01-05,2015-01-25,6,10,11,11,19,1.7,4.5,1,27
2014-08-30,2014-10-18,5,11,11,11,14.25,1.29545454545455,6.6,2,28
2014-10-18,2015-01-25,52,77,94,94,195.25,2.09415584415584,68,11,36
2014-10-04,2015-01-25,13,16,16,16,46,2.875,41.65,4,38
2015-01-05,2015-01-25,2,4,4,4,0,0,0,0,42
2014-08-25,2015-01-25,45,502,558,547,1051.75,1.91384462151394,764.5,203,44
2014-09-20,2015-01-25,87,446,1266,1158,3604.25,3.63733183856502,2278.03,60,46
2014-11-14,2015-01-25,1,1,1,1,5,5,9,1,47
2014-08-23,2015-01-25,15,16,16,16,52,3.25,11.77,2,49
2014-08-23,2015-01-25,9,11,11,11,38.25,3.47727272727273,4.5,1,53
2014-09-05,2015-01-25,6,9,12,9,28,2.11111111111111,36.5,5,56
2014-10-28,2015-01-25,41,82,84,84,93.5,1.09146341463415,31.5,8,58
2014-09-26,2015-01-25,2,2,2,1,2,1,0,0,59
2014-10-21,2015-01-25,3,3,3,3,2.5,0.833333333333333,0,0,60
2014-09-21,2015-01-25,18,54,54,54,252,4.66666666666667,268.5,21,61
2014-09-09,2015-01-25,52,64,75,74,148,1.96875,95.9,15,65
2014-11-12,2015-01-25,1,1,1,1,5,5,0,0,67
2014-11-19,2015-01-25,2,2,2,2,1.25,0.625,1.8,1,69
2014-08-22,2015-01-25,45,300,302,300,189.25,0.629166666666667,164.21,85,70
2014-11-04,2015-01-25,8,19,19,19,211,11.1052631578947,165,4,71
2014-08-22,2015-01-25,18,48,48,48,276.5,5.76041666666667,53.54,4,72
2014-08-25,2015-01-25,36,45,46,45,66.5,1.43333333333333,31.88,7,76
2014-08-25,2015-01-25,131,746,800,749,983.5,1.27714477211796,677.48,120,78
2014-09-16,2015-01-08,6,14,18,18,11.75,0.767857142857143,0.48,0,81
2014-08-22,2014-09-06,3,4,4,4,38,9.5,0,0,83
2014-12-08,2015-01-25,2,2,2,2,4,2,0,0,86
2014-08-25,2015-01-25,38,103,114,112,345.25,3.16504854368932,104.5,11,89
2014-09-09,2015-01-25,31,318,364,355,1567,4.59512578616352,1377.64,75,91
2014-09-16,2015-01-25,35,73,76,75,32.25,0.410958904109589,4.33,7,93
2014-08-22,2015-01-25,22,50,58,58,161,2.9,109.28,12,94
2014-09-06,2015-01-25,1,1,1,1,2,2,0,0,95
2014-09-20,2015-01-25,2,5,5,5,38,7.6,4,1,96
2014-09-06,2015-01-25,6,7,7,7,12.25,1.75,0,0,97
2014-09-16,2015-01-25,5,6,6,6,18,3,17,3,98
2014-10-16,2015-01-25,20,47,59,58,196,3.34042553191489,107,5,99
2014-09-05,2015-01-25,17,31,32,31,5,0.0967741935483871,0,0,103
2014-10-29,2015-01-25,2,3,7,7,75,16.3333333333333,0,0,104
2014-12-25,2014-12-25,1,3,3,3,15,5,0,0,105
2014-08-29,2015-01-25,6,7,7,7,1,0.142857142857143,0,0,106
2014-10-28,2015-01-25,15,18,18,18,17.5,0.972222222222222,10.1,5,107
