"Date1st","DateLst","nDays","nCont","nEntries","nLineups","TotFees","AvgBuyIn","TotWinnings","nUserUp","UserID"
2014-08-28,2015-01-25,3,3,3,3,31,10.3333333333333,0,0,1
2014-09-07,2015-01-25,22,35,35,35,23.5,0.671428571428571,19.25,9,2
2014-09-21,2015-01-25,23,39,52,52,1479,37.0512820512821,1278.5,15,3
2014-09-07,2015-01-25,24,342,355,348,1468.75,4.27777777777778,1399.89,117,4
2014-09-28,2015-01-25,12,22,22,22,85,3.86363636363636,76.8,10,5
2014-09-07,2015-01-25,13,14,14,14,266,19,54.5,2,6
2014-09-28,2014-10-05,2,3,3,3,7,2.33333333333333,0,0,7
2014-08-25,2015-01-25,11,17,18,18,55.5,3.25,42,3,8
2014-10-19,2015-01-25,16,49,83,83,131.75,2.12244897959184,65.3,9,10
2014-09-04,2015-01-25,16,49,65,64,62.5,0.903061224489796,33.5,3,11
2014-09-21,2015-01-25,4,4,4,4,30,7.5,2,1,12
2014-09-21,2014-10-19,5,5,5,5,10,2,0,0,13
2014-10-12,2015-01-25,7,11,16,16,93.25,6.47727272727273,50,1,14
2014-09-07,2015-01-25,19,50,51,51,108,2.12,37.8,7,15
2014-09-05,2015-01-25,41,112,144,142,585,4.8125,482.21,19,16
2014-09-28,2015-01-25,9,10,10,10,256,25.6,40,1,17
2014-09-21,2015-01-25,3,10,10,10,12,1.2,0,0,18
2014-09-07,2015-01-25,2,2,3,3,81,27,0,0,20
2014-09-14,2015-01-25,11,34,42,42,524,13.2941176470588,308.5,9,21
2014-09-04,2015-01-25,59,101,170,170,756.69,5.85831683168317,532.92,19,22
2014-11-27,2015-01-25,9,26,57,51,66.25,1.01923076923077,52.8,8,23
2014-09-07,2015-01-25,8,10,10,10,2.5,0.25,0.6,1,25
2014-09-11,2015-01-25,10,11,13,13,35,2.81818181818182,10.8,2,26
2014-09-04,2015-01-25,31,65,75,74,204,2.86153846153846,204.05,14,27
2014-08-30,2015-01-25,12,22,22,22,46.5,2.11363636363636,34.6,6,28
2014-09-28,2015-01-25,10,20,31,27,112,4.575,63,5,29
2014-09-04,2015-01-25,6,15,16,15,67,4.33333333333333,40,3,30
2014-09-04,2015-01-25,13,29,29,29,50,1.72413793103448,24,8,31
2014-09-04,2015-01-25,13,21,21,21,32.75,1.55952380952381,4.8,2,32
2014-08-28,2015-01-25,4,6,6,6,0.5,0.0833333333333333,0,0,34
2014-09-11,2015-01-25,1,1,1,1,1,1,0,0,35
2014-09-14,2015-01-25,82,209,274,274,735,2.83732057416268,512.24,44,36
2014-10-05,2015-01-25,1,8,8,8,1.25,0.15625,0,0,37
2014-09-28,2015-01-25,28,37,42,42,409,9.43243243243243,236.65,7,38
2014-10-05,2015-01-25,15,18,22,21,347,17.1111111111111,10.5,2,40
2014-09-07,2015-01-25,13,23,37,32,312,11,68,4,41
2014-09-04,2015-01-25,5,9,9,9,1,0.111111111111111,0,0,42
2014-09-07,2015-01-25,8,49,50,49,62,1.22448979591837,63.4,13,43
2014-08-25,2015-01-25,53,737,802,791,1588.75,2.00780189959294,1181.1,293,44
2014-09-21,2015-01-25,6,21,21,21,382,18.1904761904762,334,9,45
2014-09-07,2015-01-25,107,683,1897,1759,5384.5,3.75878477306003,2906.02,90,46
2014-09-07,2015-01-25,11,16,17,16,202,12,147,4,47
2014-08-23,2015-01-25,32,42,44,43,153,3.54761904761905,81.13,6,49
2014-09-14,2015-01-25,26,42,46,44,205.5,4.48809523809524,121.5,12,50
2014-09-07,2014-09-21,5,19,39,39,26.5,0.763157894736842,39.9,6,51
2014-09-04,2015-01-25,9,114,116,114,2204.25,19.3004385964912,2104.6,44,52
2014-08-23,2015-01-25,27,47,54,49,261.25,5.09042553191489,184.4,16,53
2014-09-07,2014-09-08,2,18,20,18,28,1.33333333333333,0,0,54
2014-09-05,2015-01-25,9,17,20,17,42.5,1.97058823529412,36.5,5,56
2014-09-04,2015-01-25,26,48,49,49,160.25,3.31770833333333,138.3,9,57
2014-09-04,2015-01-25,60,138,161,153,313.5,1.91666666666667,161,20,58
2014-09-07,2015-01-25,10,12,12,11,36,3,9,1,59
2014-09-14,2015-01-25,10,23,27,22,61.25,2.54347826086957,36,4,60
2014-09-21,2015-01-25,27,90,91,90,685,7.5,609.3,34,61
